Status vozidla,Druh vozidla,Druh vozidla 2.ø. TP,Druh registraèní znaèky,Kategorie,Tovární znaèka,Obchodní oznaèení,Výrobce vozidla,Palivo,Výrobce motoru,Barva vozidla,Druh karoserie,Výrobce karoserie,Øazení pøevodovky,Spojovací zaøízení,Platnost technické prohlídky,Bez rozlišení,Rok,Mìsíc / Bez rozlišení,Vše
PROVOZOVANÉ,NEUVEDENO,JINÉ,STANDARDNÍ  ZVLÁŠTNÍ (151-158),R,JINÉ,JINÉ,JINÉ,Elektropohon,NEUVEDENO,MODRÁ,JINÉ,NEUVEDENO,JINÉ,Ne,OSTATNÍ,Vše,2011,February,1
PROVOZOVANÉ,JINÉ,NEUVEDENO,STANDARDNÍ  SILNIÈNÍ (101-118),LA,JINÉ,JINÉ,JINÉ,Elektropohon,Neuvedeno,ÈERNÁ,NEUVEDENO,JINÉ,JINÉ,Ne,NEPLATNÁ,Vše,2013,May,1
PROVOZOVANÉ,JINÉ,JINÉ,RZ ELEKTRICKÉHO VOZIDLA (801-819),JINÉ,JINÉ,JINÉ,JINÉ,Elektropohon,Neuvedeno,ÈERVENÁ,JINÉ,JINÉ,JINÉ,Ne,NEPLATNÁ,Vše,2012,September,1
PROVOZOVANÉ,JINÉ,JINÉ,RZ ELEKTRICKÉHO VOZIDLA (801-819),JINÉ,JINÉ,JINÉ,JINÉ,Elektropohon,Neuvedeno,ÈERVENÁ,SKÚTR,JINÉ,JINÉ,Ne,OSTATNÍ,Vše,2022,August,1
PROVOZOVANÉ,JINÉ,JINÉ,RZ ELEKTRICKÉHO VOZIDLA (801-819),L1,JINÉ,JINÉ,JINÉ,Elektropohon,Neuvedeno,ZELENÁ,JINÉ,JINÉ,JINÉ,Ne,PLATNÁ,Vše,2020,August,1
PROVOZOVANÉ,JINÉ,JINÉ,RZ ELEKTRICKÉHO VOZIDLA (801-819),L7,JINÉ,JINÉ,JINÉ,Elektropohon,Neuvedeno,ORANŽOVÁ,JINÉ,JINÉ,AUTOMATICKÁ,Ne,PLATNÁ,Vše,2018,October,1
PROVOZOVANÉ,JINÉ,JINÉ,STANDARDNÍ  SILNIÈNÍ (101-118),JINÉ,JINÉ,NEUVEDENO,JINÉ,Elektropohon,Neuvedeno,ÈERVENÁ,JINÉ,JINÉ,JINÉ,Ne,NEPLATNÁ,Vše,2013,April,1
PROVOZOVANÉ,JINÉ,JINÉ,STANDARDNÍ  SILNIÈNÍ (101-118),L1,JINÉ,JINÉ,JINÉ,Elektropohon,Neuvedeno,ÈERVENÁ,JINÉ,JINÉ,JINÉ,Ne,PLATNÁ,Vše,2022,April,1
PROVOZOVANÉ,JINÉ,JINÉ,STANDARDNÍ  SILNIÈNÍ (101-118),L2,JINÉ,JINÉ,JINÉ,Elektropohon,Neuvedeno,MODRÁ,JINÉ,JINÉ,JINÉ,Ne,PLATNÁ,Vše,2018,September,1
PROVOZOVANÉ,AUTOBUS,JINÉ,STANDARDNÍ  SILNIÈNÍ (101-118),M3,JINÉ,JINÉ,JINÉ,Elektropohon,Neuvedeno,MODRÁ,JEDNOPODLAŽNÍ,JINÉ,JINÉ,Ne,PLATNÁ,Vše,2018,October,1
